track_id_norm,row_class_norm,fit_status_norm,qc_pass_norm,primary_failure_mode,all_failure_modes_joined,tau_ms_norm,tau_lower_ms_norm,tau_upper_ms_norm,tau_lb_ratio,tau_ub_ratio,r2_norm,n_points_fit_norm,n_points_total_norm,fit_t_start_ms_norm,fit_t_end_ms_norm,fit_window_ms_norm,fit_window_over_tau,t0_ms_norm,R0_px_norm,Rinf_px_norm,model_name_norm
206,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,34,34,,,,,,,,
207,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
208,fit_ok_qc_fail,ok,0,unspecified,,1.000000000000003,,,,,0.1748419062316698,66,66,,,,,,,,
209,fit_ok_qc_fail,ok,0,unspecified,,1.726563400172197,,,,,0.9817236574763832,149,149,,,,,,,,
210,fit_ok_qc_fail,ok,0,unspecified,,14.749854021791387,,,,,0.0838654014555708,23,23,,,,,,,,
211,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
212,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
213,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,20,20,,,,,,,,
214,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,28,28,,,,,,,,
215,fit_ok_qc_fail,ok,0,unspecified,,127.17003993967955,,,,,0.5148455309342368,149,149,,,,,,,,
216,fit_ok_qc_fail,ok,0,unspecified,,59.3077304305351,,,,,0.2558805157385961,60,60,,,,,,,,
217,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
218,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
219,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
220,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,11,11,,,,,,,,
221,fit_ok_qc_fail,ok,0,unspecified,,263.4859994844932,,,,,0.0668526025705013,74,74,,,,,,,,
222,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
223,fit_ok_qc_fail,ok,0,unspecified,,26.257993367563305,,,,,0.9219203557099708,147,147,,,,,,,,
224,fit_ok_qc_fail,ok,0,unspecified,,1.1818174382851212,,,,,0.43404930703191,6,6,,,,,,,,
225,fit_ok_qc_fail,ok,0,unspecified,,51.0258266546855,,,,,0.3439729095360092,8,8,,,,,,,,
226,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
227,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,13,13,,,,,,,,
228,fit_ok_qc_fail,ok,0,unspecified,,1859.606227606892,,,,,0.0569372910303931,75,75,,,,,,,,
229,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
230,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
231,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
232,fit_ok_qc_fail,ok,0,unspecified,,20.73422622795647,,,,,0.9382723785852944,76,76,,,,,,,,
233,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
234,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
235,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
236,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
237,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
238,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
239,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,4,4,,,,,,,,
