dataset,t_s,active_count,sum_area_um2,mean_R_um
FAPI,0.0,13,3144.3126,8.48434723939057
FAPI,0.0,14,3324.7877000000003,8.430364941243521
FAPI,0.0,14,3343.2087,8.451240965069422
FAPI,0.0,15,3551.095600000001,8.425772200020182
FAPI,0.0,22,5675.087600000001,8.489085510290217
FAPI,0.0,16,4105.4156,8.847773151198721
FAPI,0.0,16,3970.418400000001,8.687065557297915
FAPI,0.0,1,165.3496,7.254819939635671
FAPI,0.0,1,175.40510000000003,7.472160157347834
FAPI,0.0,2,430.1557,8.244004620949582
FAPI,0.0,1,191.8319,7.814217187627965
FAPI,0.0,2,486.0271000000001,8.75534954785063
FAPI,0.0,2,512.3066,8.98138748670507
FAPI,0.0,2,534.7667,9.165483790002863
FAPI,0.0,2,552.8328,9.315113385578703
FAPI,0.0,2,576.3238,9.4972608289473
FAPI,0.0,2,598.4290000000001,9.662675359496252
FAPI,0.0,3,633.6993000000001,7.038918778047068
FAPI,0.0,2,649.4670000000001,10.029345184730204
FAPI,0.0,3,850.0531000000001,9.248538918508284
FAPI,0.0,4,999.9899,8.61661771451086
FAPI,0.0,4,1029.1255,8.75641731694244
FAPI,0.0,6,1254.0138000000002,7.417061332448624
FAPI,0.0,7,1297.8524000000002,6.665997282224609
FAPI,0.0,6,1330.4525,7.654136614215674
FAPI,0.0,7,1761.5039000000002,8.259519310676476
FAPI,0.0,7,1580.1331000000002,7.9655308988925295
FAPI,0.0,8,2044.6465000000003,8.510300894347697
FAPI,0.0,1,159.6543,7.1287826493555535
FAPI,0.0,1,151.91410000000002,6.953830590452501
