dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI-TEMPO,21,118.57339945465527,0.5866595064920621,0.1683451873266922,0.9951641813653612,170.0,qc_fail,
FAPI-TEMPO,85,125.47912410148244,0.5211512400968887,0.1486761544808454,2.0242410984202848,163.0,qc_fail,
FAPI-TEMPO,664,125.83167495101908,0.9541809293578624,0.0578496837029871,1.0013377001382715,70.0,qc_fail,
FAPI-TEMPO,36,128.94838948686217,0.5748293431156399,0.0129304437085814,0.8840746321350126,97.0,qc_fail,
FAPI-TEMPO,652,129.67886107233335,0.9635788455853704,0.0474606074283133,0.9562082746148908,71.0,qc_fail,
FAPI-TEMPO,35,136.87011554475328,0.9888174079075144,0.0047848360643699,0.102286755178652,9.0,qc_fail,
FAPI-TEMPO,697,144.1563321262335,0.8862271000311255,0.082666814492187,0.8740510953737742,66.0,qc_fail,
FAPI-TEMPO,71,144.35695900964868,0.5328043606562738,0.1599912713679918,0.7204363455249063,92.0,qc_fail,
FAPI-TEMPO,666,144.36687837059574,0.7034361245616954,0.140524639855189,0.8450691832985469,68.0,qc_fail,
FAPI-TEMPO,269,158.41265701306193,0.0879206622608774,0.7322322559175802,1.073146573041715,135.0,qc_fail,
FAPI-TEMPO,763,163.97970948252944,0.7251939557076874,0.0731315248400283,0.3415056666261888,40.0,qc_fail,
FAPI-TEMPO,132,178.80322915038423,0.2724223036069064,0.0964749005194496,1.2192173543837337,157.0,qc_fail,
FAPI-TEMPO,149,181.33173698747868,0.514837773513686,0.0869459515055926,0.9154492355161338,86.0,qc_fail,
FAPI-TEMPO,148,190.56552155136205,0.2848989937933672,0.1846559675425506,0.4512883511135088,84.0,qc_fail,
FAPI-TEMPO,97,193.7387246020695,0.1342185928665992,0.164424633474335,0.2167868095873248,53.0,qc_fail,
FAPI-TEMPO,26,202.7945661054383,0.5302946500568285,0.1099438374458916,0.96649532462371,101.0,qc_fail,
FAPI-TEMPO,58,213.0449055649849,0.4094567816790285,0.1170280497296629,0.8918307597927727,98.0,qc_fail,
FAPI-TEMPO,106,218.3525137031659,0.3735035261260231,0.1143461075165462,0.8151955614395987,93.0,qc_fail,
FAPI-TEMPO,91,219.28957784699816,0.5204725883014373,0.0866350529178935,0.8208324434168451,93.0,qc_fail,
FAPI-TEMPO,891,223.3816596840909,0.6443809811251544,0.0202657392931592,0.0626730055627618,10.0,qc_fail,
FAPI-TEMPO,81,234.46059535486012,0.3957450966261487,0.1148074963097717,0.9383239843225092,164.0,qc_fail,
FAPI-TEMPO,166,239.204136988061,0.5997690717838153,0.2204732927410181,1.0952987824498903,154.0,qc_fail,
FAPI-TEMPO,191,244.43984881532336,0.1841841069049165,0.4362162976942094,0.9491087526210924,150.0,qc_fail,
FAPI-TEMPO,123,247.361526532206,0.335426052739434,0.3308805611110312,1.08343445222516,159.0,qc_fail,
FAPI-TEMPO,192,252.30983525570835,0.4976740768473555,0.1223406719056415,0.6499944793423965,92.0,qc_fail,
FAPI-TEMPO,223,253.0509755468368,0.3772529251487814,0.2523627714084597,0.8140652275883907,147.0,qc_fail,
FAPI-TEMPO,178,255.7111641437237,0.7136956619589595,0.1571351942555036,1.0167721885379462,151.0,qc_fail,
FAPI-TEMPO,153,259.0292008304469,0.584489342241962,0.1872067826412519,0.9805844251755274,155.0,qc_fail,
FAPI-TEMPO,174,262.85955888957665,0.6785314459575574,0.1914714168068169,1.0880334776797838,151.0,qc_fail,
FAPI-TEMPO,198,264.62636707680497,0.2823697092297991,0.3826339224948567,0.9598438840611798,151.0,qc_fail,
FAPI-TEMPO,135,266.18994475315725,0.6464049967952323,0.1925708185973753,1.0518804542359743,158.0,qc_fail,
FAPI-TEMPO,88,267.1498522166435,0.3875536585611394,0.0962019047656279,0.6812655836785124,95.0,qc_fail,
FAPI-TEMPO,56,275.7130105853573,0.401744931740018,0.2274644811643859,0.7253919558434566,166.0,qc_fail,
FAPI-TEMPO,170,277.162630076949,0.6359310998441028,0.1811815922395321,0.9164294621157322,153.0,qc_fail,
