pair_id,metric,delta
437,"Full entropy (raw_reconstructed, mask)",0.21391691270123125
438,"Full entropy (raw_reconstructed, mask)",0.30737758322171427
439,"Full entropy (raw_reconstructed, mask)",0.3388693252141941
440,"Full entropy (raw_reconstructed, mask)",0.33620439188650586
441,"Full entropy (raw_reconstructed, mask)",0.4953298901877714
442,"Full entropy (raw_reconstructed, mask)",0.4599358613984901
443,"Full entropy (raw_reconstructed, mask)",0.19050333467503755
444,"Full entropy (raw_reconstructed, mask)",-0.08480707778610785
445,"Full entropy (raw_reconstructed, mask)",-0.037379869508186836
446,"Full entropy (raw_reconstructed, mask)",0.05155201530416775
447,"Full entropy (raw_reconstructed, mask)",0.01614960779960839
448,"Full entropy (raw_reconstructed, mask)",0.04976562530369932
449,"Full entropy (raw_reconstructed, mask)",-0.12689109759438644
450,"Full entropy (raw_reconstructed, mask)",-0.022884539335223053
451,"Full entropy (raw_reconstructed, mask)",-0.09930120217914418
452,"Full entropy (raw_reconstructed, mask)",-0.1656490421173391
453,"Full entropy (raw_reconstructed, mask)",-0.13517493862480023
454,"Full entropy (raw_reconstructed, mask)",-0.1242556669171977
455,"Full entropy (raw_reconstructed, mask)",-0.05045969213313306
456,"Full entropy (raw_reconstructed, mask)",0.12376862209148864
458,"Full entropy (raw_reconstructed, mask)",-0.04822572138042158
459,"Full entropy (raw_reconstructed, mask)",0.20931680340984915
460,"Full entropy (raw_reconstructed, mask)",0.0698402890335661
461,"Full entropy (raw_reconstructed, mask)",0.05291697746301782
462,"Full entropy (raw_reconstructed, mask)",0.12887264836535728
463,"Full entropy (raw_reconstructed, mask)",0.23964157373921147
464,"Full entropy (raw_reconstructed, mask)",0.021051395205705425
465,"Full entropy (raw_reconstructed, mask)",-0.08610582973797598
466,"Full entropy (raw_reconstructed, mask)",0.08598478354660966
467,"Full entropy (raw_reconstructed, mask)",0.0671839801255194
468,"Full entropy (raw_reconstructed, mask)",0.058868984340635144
469,"Full entropy (raw_reconstructed, mask)",0.028381231500723914
470,"Full entropy (raw_reconstructed, mask)",0.04740326842092646
471,"Full entropy (raw_reconstructed, mask)",0.055334350370649155
472,"Full entropy (raw_reconstructed, mask)",0.14273157063440767
473,"Full entropy (raw_reconstructed, mask)",-0.1502637683341188
474,"Full entropy (raw_reconstructed, mask)",0.055900783520741903
475,"Full entropy (raw_reconstructed, mask)",0.16607621892308622
476,"Full entropy (raw_reconstructed, mask)",0.08480768213805412
477,"Full entropy (raw_reconstructed, mask)",-0.023246180322311183
478,"Full entropy (raw_reconstructed, mask)",0.04762371143345945
479,"Full entropy (raw_reconstructed, mask)",0.09792364112203522
480,"Full entropy (raw_reconstructed, mask)",-0.05342867072373281
481,"Full entropy (raw_reconstructed, mask)",-0.0733643500689869
482,"Full entropy (raw_reconstructed, mask)",0.05484220177485977
483,"Full entropy (raw_reconstructed, mask)",0.0427550495017357
484,"Full entropy (raw_reconstructed, mask)",0.2492036089921532
485,"Full entropy (raw_reconstructed, mask)",0.2293960463364595
