t_ms,X_area_frac,X_JMAK,k_fit,n_fit
520.0,0.6057228551815,0.6346902587690638,0.00192721463763989,3.25
521.0,0.6089240226743009,0.6369871758025218,0.00192721463763989,3.25
522.0,0.6121441887606736,0.639279497965278,0.00192721463763989,3.25
523.0,0.6153860895990267,0.6415671529975999,0.00192721463763989,3.25
524.0,0.6186622501111906,0.6438500690415044,0.00192721463763989,3.25
525.0,0.6219649797675803,0.6461281746476022,0.00192721463763989,3.25
526.0,0.6253099452011717,0.6484013987818885,0.00192721463763989,3.25
527.0,0.628683797109123,0.6506696708324855,0.00192721463763989,3.25
528.0,0.632097291772127,0.6529329206163293,0.00192721463763989,3.25
529.0,0.6355299300614674,0.6551910783858053,0.00192721463763989,3.25
530.0,0.6391566054885258,0.6574440748353262,0.00192721463763989,3.25
531.0,0.6424424105631446,0.6596918411078556,0.00192721463763989,3.25
532.0,0.6459259561517142,0.6619343088013738,0.00192721463763989,3.25
533.0,0.6494169295539428,0.6641714099752842,0.00192721463763989,3.25
534.0,0.6529219005644581,0.6664030771567617,0.00192721463763989,3.25
535.0,0.6564432812388552,0.6686292433470395,0.00192721463763989,3.25
536.0,0.6599806033398984,0.6708498420276344,0.00192721463763989,3.25
537.0,0.6635362059576269,0.6730648071665095,0.00192721463763989,3.25
538.0,0.6671201876845767,0.6752740732241728,0.00192721463763989,3.25
539.0,0.6707336745459558,0.6774775751597112,0.00192721463763989,3.25
540.0,0.6743889903341905,0.6796752484367585,0.00192721463763989,3.25
541.0,0.6780646037224737,0.6818670290293964,0.00192721463763989,3.25
542.0,0.6817688377748933,0.6840528534279873,0.00192721463763989,3.25
543.0,0.6854994232726669,0.6862326586449385,0.00192721463763989,3.25
544.0,0.6892668874185812,0.6884063822203967,0.00192721463763989,3.25
545.0,0.6930818936643728,0.6905739622278705,0.00192721463763989,3.25
546.0,0.6969276286899294,0.6927353372797819,0.00192721463763989,3.25
547.0,0.7008178708076082,0.694890446532945,0.00192721463763989,3.25
548.0,0.7047333719834517,0.69703922969397,0.00192721463763989,3.25
549.0,0.7086905756191764,0.6991816270245939,0.00192721463763989,3.25
550.0,0.7126811280071574,0.7013175793469328,0.00192721463763989,3.25
551.0,0.7166879631927814,0.7034470280486629,0.00192721463763989,3.25
552.0,0.7207448124235256,0.7055699150881168,0.00192721463763989,3.25
553.0,0.7248430468986465,0.707686182999308,0.00192721463763989,3.25
554.0,0.7289727471954737,0.709795774896872,0.00192721463763989,3.25
555.0,0.7331620981811346,0.7118986344809302,0.00192721463763989,3.25
556.0,0.7373891506987066,0.713994706041871,0.00192721463763989,3.25
557.0,0.7416343900056646,0.7160839344650498,0.00192721463763989,3.25
558.0,0.7459196230210153,0.7181662652354072,0.00192721463763989,3.25
559.0,0.7502366100270975,0.7202416444420026,0.00192721463763989,3.25
560.0,0.7545947268482052,0.7223100187824654,0.00192721463763989,3.25
561.0,0.7589960741137608,0.7243713355673602,0.00192721463763989,3.25
562.0,0.7634437444253978,0.7264255427244666,0.00192721463763989,3.25
563.0,0.7679442264272707,0.7284725888029735,0.00192721463763989,3.25
564.0,0.7724864886457525,0.7305124229775862,0.00192721463763989,3.25
565.0,0.7770782566458707,0.7325449950525453,0.00192721463763989,3.25
566.0,0.7817221787478839,0.7345702554655575,0.00192721463763989,3.25
567.0,0.7864159762504814,0.736588155291639,0.00192721463763989,3.25
568.0,0.7911494534400815,0.7385986462468663,0.00192721463763989,3.25
569.0,0.7959380495686269,0.7406016806920397,0.00192721463763989,3.25
570.0,0.800774599738016,0.7425972116362549,0.00192721463763989,3.25
571.0,0.8056489611371891,0.7445851927403826,0.00192721463763989,3.25
572.0,0.8105779644542571,0.7465655783204574,0.00192721463763989,3.25
